StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q6,Q1,Q20,Q23,Q24_1,Q25,Q26,Q28_1,Q31,Q30,Q29_1,Q34,Q33,Q32_1,Q35,Q36,Q37_1,Q38,Q40,Q39_1,Q43,Q42,Q41_1,Q46,Q48,Q44_1,Q49,Q45,Q47_1,Q52,Q51,Q50_1,Q55,Q54,Q53_1,Q58,Q57,Q56_1,Q5,Q5_11_TEXT,Q7,Q9,Q10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q10,Q10_8_TEXT,Q11,Q11_5_TEXT,Q12,Q12_6_TEXT,Q13,Q13_6_TEXT,Q14,Q14_7_TEXT,Q63,Q59,Q60,Q61,Q62,Q12_6_TEXT - Topics
2018-11-28 10:23:33,2018-11-28 10:26:28,IP Address,100,174,True,2018-11-28 10:26:28,R_3HtPZTsgwF9cxzV,email,EN,I consent to taking part in this survey.,"Pre-Professional,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,6,2,4,,,,,,,,,,12,"1 ",4,,,,,,,,,,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,6,Less than half the time spent in class,Usually by myself,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Hispanic/Latinx,,Male,,2021,,,,"River Central (Adams, Lowell, Quincy)",,5,Neurobiology,,,,
2018-11-28 14:58:50,2018-11-28 15:00:21,IP Address,100,90,True,2018-11-28 15:00:22,R_322ASQdGjkzr5LF,email,EN,I consent to taking part in this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,HBO Now or HBO Go,Amazon Prime Video,YouTube or YouTube TV",,10,Between half the time and the full time spent in class,Sometimes by myself,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,,,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,History,,,,
2018-11-21 15:56:34,2018-11-21 15:57:12,IP Address,4,38,False,2018-11-28 15:57:18,R_PXTIBRTfzsGO7yV,email,EN,I consent to taking part in this survey.,"Service,Social,Pre-Professional,Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21 12:23:32,2018-11-21 16:59:45,IP Address,70,16573,False,2018-11-28 16:59:46,R_2wN1r9vd9fyl1S9,email,EN,I consent to taking part in this survey.,"Pre-Professional,Politics,Research,On-Campus Job (House Grill, Lamont Library, etc.),Club Sports Team",,,,,,,5,"1 ",4,,,,"1 ","1 ",1,7,"1 ",4,10,"1 ",5,,,,,,,,,,4,"1 ",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-21 23:17:27,2018-11-21 23:18:56,IP Address,4,88,False,2018-11-28 23:18:57,R_1oI0FUV6Dzj57i4,email,EN,I consent to taking part in this survey.,"Social,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-29 10:54:51,2018-11-29 10:57:41,IP Address,100,170,True,2018-11-29 10:57:41,R_2wmzVUktrQp8Mak,email,EN,I consent to taking part in this survey.,"Social,Arts & Music,Research",,,,5,"1 ",4,,,,5,"1 ",5,,,,5,2,4,,,,,,,,,,,,,,,,,,,Netflix,,3,Less than half the time spent in class,About equally by myself and with others,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,"Caucasian ",,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,English,,,,
2018-11-29 10:57:22,2018-11-29 11:00:55,IP Address,100,213,True,2018-11-29 11:00:56,R_3255VaAs8VbSsJh,email,EN,I consent to taking part in this survey.,"Social,Tutoring/CA/TF,Varsity Sports Team,Club Sports Team",,,,2,2,2,,,,,,,,,,,,,,,,,,,5,"1 ",2,15,"1 ",7,"1 ","1 ",,,,,,,,Less than half the time spent in class,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Caucasian ",,Male,,2020,,,,"River East (Dunster, Leverett, Mather)",,2,Social Studies,,,,
2018-11-29 11:00:24,2018-11-29 11:02:41,IP Address,100,137,True,2018-11-29 11:02:41,R_2CkMUb80J5iyztT,email,EN,I consent to taking part in this survey.,"Service,Club Sports Team,IM Sports",2,"1 ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,"1 ",5,"1 ","1 ",2,"Hulu,Netflix,HBO Now or HBO Go,Amazon Prime Video,YouTube or YouTube TV",,1,Less than half the time spent in class,About equally by myself and with others,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly Agree,Strongly disagree,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Human Developmental and Regenerative Biology,,,,
2018-11-24 23:05:27,2018-11-29 11:03:52,IP Address,100,388704,True,2018-11-29 11:03:53,R_ZrYVGjuSDUQp2O5,email,EN,I consent to taking part in this survey.,"Service,Social,Politics,On-Campus Job (House Grill, Lamont Library, etc.),PAF",2,"1 ",4,3,2,5,,,,,,,4,"1 ",10,,,,6,"1 ",6,3,"1 ",9,,,,,,,,,,,,,"Hulu,Netflix",,4,Less than half the time spent in class,Usually with others,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Hispanic/Latinx,,Male,,2021,,,,"The Quad (Cabot, Currier, Pfoho)",,7,Government,,,,
2018-11-29 11:01:30,2018-11-29 11:05:00,IP Address,100,209,True,2018-11-29 11:05:00,R_2tEeYbNjgAxcgF6,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,On-Campus Job (House Grill, Lamont Library, etc.),PAF,Club Sports Team",3,2,4,,,,"1 ","1 ",5,,,,,,,,,,10,"1 ",9,3,"1 ",8,,,,,,,4,"1 ",5,,,,Netflix,,1,Less than half the time spent in class,About equally by myself and with others,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly Agree,Somewhat agree,"Caucasian ",,Female,,2019,,,,"River Central (Adams, Lowell, Quincy)",,8,Neurobiology,,,,
2018-11-29 11:00:22,2018-11-29 11:06:16,IP Address,100,353,True,2018-11-29 11:06:16,R_r9m0QyJDXdO7lTP,email,EN,I consent to taking part in this survey.,"Service,Social,Arts & Music,Research",2,"1 ",6,,,,,,,,,,,,,10,"1 ",8,,,,,,,,,,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,1,Less than half the time spent in class,Sometimes by myself,Somewhat agree,Somewhat agree,Strongly disagree,Neutral,Strongly Agree,Strongly disagree,"Caucasian ,Hispanic/Latinx",,Female,,2020,,,,"The Quad (Cabot, Currier, Pfoho)",,3,Integrative Biology,,,,
2018-11-29 11:03:08,2018-11-29 11:07:27,IP Address,100,258,True,2018-11-29 11:07:27,R_290sDdGYYuDyQEU,email,EN,I consent to taking part in this survey.,"Service,Tutoring/CA/TF","1 ","1 ",1,,,,,,,,,,,,,,,,,,,,,,3,"1 ",2,,,,,,,,,,"Hulu,Netflix,HBO Now or HBO Go",,10,Between half the time and the full time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly Agree,"Caucasian ",,Female,,2019,,,,"River East (Dunster, Leverett, Mather)",,4,Psychology,,,,
2018-11-29 11:04:13,2018-11-29 11:08:12,IP Address,100,239,True,2018-11-29 11:08:13,R_1kIzxU0oHsXcP1F,email,EN,I consent to taking part in this survey.,"Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.),IM Sports",,,,,,,,,,5,"1 ",3,,,,,,,20+,3,9,,,,,,,,,,,,,7,"1 ",5,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,5,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Strongly disagree,Strongly disagree,Neutral,Strongly disagree,"Caucasian ",,Female,,2021,,,,"River West (Eliot, Kirkland, Winthrop)",,6,Joint/Non-conventional concentrators,History of Art and Architecture,Folklore and Mythology,,
2018-11-29 11:13:31,2018-11-29 11:17:04,IP Address,100,212,True,2018-11-29 11:17:04,R_25zrTyNVm5zesBc,email,EN,I consent to taking part in this survey.,"Service,Social,Pre-Professional,Arts & Music,Research,On-Campus Job (House Grill, Lamont Library, etc.)",3,2,5,2,"1 ",3,3,"1 ",5,"1 ","1 ",2,,,,10,"1 ",7,2,"1 ",3,,,,,,,,,,,,,,,,"Hulu,Netflix,HBO Now or HBO Go,Amazon Prime Video",,1,Less than half the time spent in class,Usually with others,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Strongly Agree,Somewhat disagree,"Caucasian ",,Female,,2021,,,,"River West (Eliot, Kirkland, Winthrop)",,6,Joint/Non-conventional concentrators,Neurobiology,Linguistics,,
2018-11-24 21:40:55,2018-11-29 11:20:37,IP Address,100,394781,True,2018-11-29 11:20:37,R_3qy6VIIKUBvOOC7,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional,Research",,,,9,"1 ",4,5,"1 ",3,,,,,,,14,2,9,,,,,,,,,,,,,,,,,,,"Netflix,YouTube or YouTube TV",,2,Less than half the time spent in class,Sometimes by myself,Strongly Agree,Strongly Agree,Somewhat disagree,Strongly disagree,Somewhat agree,Strongly disagree,Asian,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Chemical and Physical Biology,,,,
2018-11-29 11:26:42,2018-11-29 11:28:42,IP Address,100,120,True,2018-11-29 11:28:43,R_2Tz8Aci5hdo81vD,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,On-Campus Job (House Grill, Lamont Library, etc.)",20+,"1 ",8,,,,4,,3,,,,,,,,,,"1 ",,2,,,,,,,,,,,,,,,,YouTube or YouTube TV,,1,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Strongly disagree,Somewhat disagree,Neutral,Strongly disagree,Asian,,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Economics,,,,
2018-11-29 11:25:21,2018-11-29 11:28:44,IP Address,100,203,True,2018-11-29 11:28:44,R_1cZJTxKHonLCRTc,email,EN,I consent to taking part in this survey.,Arts & Music,,,,,,,,,,"1 ","1 ",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,Less than half the time spent in class,Usually by myself,Neutral,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Hispanic/Latinx,,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Mechanical Engineering,,,,
2018-11-29 11:26:58,2018-11-29 11:31:44,IP Address,100,285,True,2018-11-29 11:31:44,R_p6rL4lZ4l2p3bEd,email,EN,I consent to taking part in this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"YouTube or YouTube TV,Other",Various sites for anime,20+,About the same amount of time as the time spent in class,Usually by myself,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Neutral,Strongly Agree,"Caucasian ",,Male,,2019,,,,"The Quad (Cabot, Currier, Pfoho)",,8,Chemical and Physical Biology,,,,
2018-11-29 11:31:12,2018-11-29 11:33:17,IP Address,100,125,True,2018-11-29 11:33:17,R_2R2frHDXFJgoQfi,email,EN,I consent to taking part in this survey.,Social,,,,5,"1 ",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YouTube or YouTube TV,,1,Less than half the time spent in class,Usually by myself,Somewhat agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Asian,,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Mechanical Engineering,,,,
2018-11-29 11:46:58,2018-11-29 11:49:07,IP Address,100,128,True,2018-11-29 11:49:07,R_1IKGFyDvC0bAclT,email,EN,I consent to taking part in this survey.,Arts & Music,,,,,,,,,,9,2,5,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,Amazon Prime Video,YouTube or YouTube TV",,2,Less than half the time spent in class,Usually with others,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,"Caucasian ",,Female,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Undecided,,,,
2018-11-29 11:59:31,2018-11-29 12:02:34,IP Address,100,183,True,2018-11-29 12:02:34,R_R90YBbarxfxg7wl,email,EN,I consent to taking part in this survey.,"On-Campus Job (House Grill, Lamont Library, etc.),Varsity Sports Team",,,,,,,,,,,,,,,,,,,10,"1 ",,,,,,,,20+,"1 ",10,,,,,,,"Netflix,YouTube or YouTube TV",,6,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat disagree,Somewhat agree,Strongly disagree,"Caucasian ",,Male,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Economics,,,,
2018-11-29 12:38:36,2018-11-29 12:41:22,IP Address,100,166,True,2018-11-29 12:41:22,R_1IERu4xyRTWfjf3,email,EN,I consent to taking part in this survey.,Varsity Sports Team,,,,,,,,,,,,,,,,,,,,,,,,,,,,20+,"1 ",,,,,,,,Netflix,,3,Between half the time and the full time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly disagree,Black/African,,Female,,2022,,"Crimson Yard (Greenough, Hurlbut, Pennypacker, Wigglesworth)",,,,,Undecided,,,,
2018-11-29 12:49:29,2018-11-29 12:52:46,IP Address,100,197,True,2018-11-29 12:52:47,R_23dTJUieaxw5uMg,email,EN,I consent to taking part in this survey.,"Social,Pre-Professional,Varsity Sports Team",,,,15,2,5,2,"1 ",5,,,,,,,,,,,,,,,,,,,18,"1 ",8,,,,,,,YouTube or YouTube TV,,1,Less than half the time spent in class,Usually with others,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly Agree,Strongly disagree,"Caucasian ",,Male,,2022,,"Elm Yard (Grays, Matthews, Weld)",,,,,Electrical Engineering,,,,
2018-11-29 12:53:25,2018-11-29 12:55:45,IP Address,100,140,True,2018-11-29 12:55:45,R_2RaeUV7qvUCvO3G,email,EN,I consent to taking part in this survey.,"Politics,Research",,,,,,,,,,,,,2,"1 ",8,4,"1 ",5,,,,,,,,,,,,,,,,,,,"Netflix,Sling TV,YouTube or YouTube TV",,7,Between half the time and the full time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat agree,Strongly disagree,Somewhat agree,Somewhat agree,"Asian,Caucasian ",,Male,,2019,,,,"River Central (Adams, Lowell, Quincy)",,4,History,,,,
2018-11-29 12:56:22,2018-11-29 13:01:50,IP Address,100,327,True,2018-11-29 13:01:51,R_3fAWLtbFkyytIrh,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,Arts & Music",3,"1 ",4,,,,"1 ","1 ",2,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,"Netflix,HBO Now or HBO Go,Amazon Prime Video",,4,Less than half the time spent in class,Sometimes by myself,Strongly Agree,Somewhat agree,Neutral,Somewhat disagree,Somewhat agree,Strongly disagree,"Asian,Caucasian ",,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Human Developmental and Regenerative Biology,,,,
2018-11-29 13:40:08,2018-11-29 13:42:35,IP Address,100,147,True,2018-11-29 13:42:35,R_2YDq6Eh2zL9inea,email,EN,I consent to taking part in this survey.,"Politics,Varsity Sports Team",,,,,,,,,,,,,2,"1 ",3,,,,,,,,,,,,,16,"1 ",7,,,,,,,"Netflix,YouTube or YouTube TV",,14,Between the full time spent and class and double the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,"Caucasian ",,Female,,2022,,"Oak Yard (Canaday, Thayer)",,,,,"Studies of Women, Gender, and Sexuality",,,,
2018-11-29 13:40:01,2018-11-29 13:42:41,IP Address,100,160,True,2018-11-29 13:42:41,R_2QYW6qLl1YoIKYQ,email,EN,I consent to taking part in this survey.,"Service,Social,Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.),Club Sports Team,IM Sports",2,,3,5,"1 ",5,,,,3,"1 ",1,,,,,,,8,"1 ",5,,,,,,,,,,8,"1 ",6,2,"1 ",3,YouTube or YouTube TV,,10,Between half the time and the full time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly Agree,Somewhat agree,Asian,,Male,,2020,,,,"River East (Dunster, Leverett, Mather)",,2,Mathematics,,,,
2018-11-29 14:11:05,2018-11-29 14:14:11,IP Address,100,186,True,2018-11-29 14:14:11,R_3jZFlwozfdNTgH8,email,EN,I consent to taking part in this survey.,"Pre-Professional,Politics,Tutoring/CA/TF,Varsity Sports Team",,,,,,,4,2,7,,,,3,"1 ",6,,,,,,,,,,2,"1 ",2,14,"1 ",9,,,,,,,"Netflix,YouTube or YouTube TV",,3,Less than half the time spent in class,Usually by myself,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Asian,,Female,,2021,,,,"River Central (Adams, Lowell, Quincy)",,7,Economics,,,,
2018-11-29 14:17:04,2018-11-29 14:19:03,IP Address,100,118,True,2018-11-29 14:19:04,R_2tJZom5PgOmd7Q9,email,EN,I consent to taking part in this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,dailymotion,2,Less than half the time spent in class,Usually with others,Strongly Agree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,"Caucasian ",,Nonbinary,,2021,,,,Off Campus Housing,,8,Physics,,,,
2018-11-29 14:41:18,2018-11-29 14:43:51,IP Address,100,152,True,2018-11-29 14:43:52,R_2azPtGaPs00MdKF,email,EN,I consent to taking part in this survey.,"Social,Varsity Sports Team",,,,3,"1 ",3,,,,,,,,,,,,,,,,,,,,,,20+,"1 ",10,,,,,,,"Hulu,Netflix,YouTube or YouTube TV",,10,Between half the time and the full time spent in class,Usually by myself,Somewhat agree,Somewhat agree,Somewhat agree,Neutral,Neutral,Strongly Agree,"Caucasian ",,Female,,2022,,"Ivy Yard (Apley Court, Hollis, Holworthy, Lionel, Massachusetts Hall, Mower, Stoughton, Straus)",,,,,Government,,,,
2018-11-29 17:31:25,2018-11-29 17:39:26,IP Address,100,481,True,2018-11-29 17:39:27,R_1IGcrpaw0i19hqm,email,EN,I consent to taking part in this survey.,"Service,Social,Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.),PAF,Club Sports Team",2,"1 ",2,6,2,8,,,,6,"1 ",9,,,,,,,6,"1 ",9,3,"1 ",9,,,,,,,"1 ","1 ",1,,,,"Hulu,Netflix",,3,Less than half the time spent in class,About equally by myself and with others,Strongly Agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly Agree,Neutral,"Asian,Caucasian ",,Female,,2021,,,,"River West (Eliot, Kirkland, Winthrop)",,7,Psychology,,,,
2018-11-29 19:59:05,2018-11-29 20:02:01,IP Address,100,176,True,2018-11-29 20:02:01,R_1S2xa4nzuirfUTT,email,EN,I consent to taking part in this survey.,"Social,Tutoring/CA/TF",,,,"1 ","1 ",4,,,,,,,,,,,,,,,,,,,2,"1 ",4,,,,,,,,,,YouTube or YouTube TV,,5,Less than half the time spent in class,Sometimes by myself,Strongly disagree,Strongly Agree,Strongly disagree,Strongly disagree,Strongly Agree,Strongly disagree,Asian,,Female,,2019,,,,"The Quad (Cabot, Currier, Pfoho)",,7,Computer Science,,,,
2018-11-24 19:20:09,2018-11-24 19:20:29,IP Address,4,20,False,2018-12-01 19:20:36,R_1DHzanx7OpXk0ik,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,IM Sports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24 19:27:57,2018-11-24 19:28:22,IP Address,4,24,False,2018-12-01 19:28:26,R_3QEowKjDJB5RsyK,email,EN,I consent to taking part in this survey.,"Service,Arts & Music,On-Campus Job (House Grill, Lamont Library, etc.),Tutoring/CA/TF,Club Sports Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24 20:37:51,2018-11-24 20:38:31,IP Address,4,39,False,2018-12-01 20:38:31,R_2Xdl8WryAqHMRiD,email,EN,I consent to taking part in this survey.,"Service,Varsity Sports Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24 21:28:43,2018-11-24 21:29:28,IP Address,4,44,False,2018-12-01 21:29:35,R_22t4UBcT6yeOw0q,email,EN,I consent to taking part in this survey.,"Service,Social,Arts & Music,Research,On-Campus Job (House Grill, Lamont Library, etc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24 21:55:08,2018-11-24 21:57:13,IP Address,70,125,False,2018-12-01 21:57:21,R_2WvxjvXeZrkrd5G,email,EN,I consent to taking part in this survey.,"Politics,Varsity Sports Team",,,,,,,,,,,,,2,"1 ",3,,,,,,,,,,,,,20+,"1 ",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24 18:48:41,2018-11-24 22:13:10,IP Address,4,12269,False,2018-12-01 22:13:13,R_33mtB0bWn4RTta3,email,EN,I consent to taking part in this survey.,"Service,On-Campus Job (House Grill, Lamont Library, etc.),IM Sports",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25 00:24:22,2018-11-25 00:24:31,IP Address,2,9,False,2018-12-02 00:24:35,R_2AKzH5D3FjaiB9C,email,EN,I consent to taking part in this survey.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-24 19:04:34,2018-11-25 10:34:06,IP Address,4,55772,False,2018-12-02 10:34:24,R_3e8JT7xna07z8I6,email,EN,I consent to taking part in this survey.,"Pre-Professional,Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-25 13:41:47,2018-11-25 13:43:03,IP Address,4,75,False,2018-12-02 13:43:36,R_3p2WDfZmbSp07RV,email,EN,I consent to taking part in this survey.,"Service,Pre-Professional,Arts & Music,Politics",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-11-26 15:18:16,2018-11-26 15:19:24,IP Address,4,68,False,2018-12-03 15:34:42,R_1GB10WFptIcyMR3,email,EN,I consent to taking part in this survey.,"On-Campus Job (House Grill, Lamont Library, etc.),Varsity Sports Team",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
